Time_stamp,SupplyFanStatus,DamperSignal,CoolingCoilValvePosition
7/22/14 2:00 PM,1,5,55.8491
7/22/14 2:01 PM,1,5,55.8491
7/22/14 2:02 PM,1,5,55.8491
7/22/14 2:03 PM,1,5,55.8491
7/22/14 2:04 PM,1,5,55.8491
7/22/14 2:05 PM,,5,
7/22/14 2:06 PM,1,5,
7/22/14 2:07 PM,1,,55.8491
7/22/14 2:08 PM,,5,55.8491
7/22/14 2:09 PM,,5,55.8491
7/22/14 2:10 PM,1,,
7/22/14 2:11 PM,1,5,55.8491
7/22/14 2:12 PM,1,,
7/22/14 2:13 PM,1,5,55.8491
7/22/14 2:14 PM,1,,
7/22/14 2:15 PM,,,55.8491
7/22/14 2:16 PM,1,5,55.8491
7/22/14 2:17 PM,,5,55.8491
7/22/14 2:18 PM,1,5,
7/22/14 2:19 PM,,,55.8491
7/22/14 2:20 PM,,,55.8491
7/22/14 2:21 PM,1,5,55.8491
7/22/14 2:22 PM,,5,55.8491
7/22/14 2:23 PM,1,5,55.8491
7/22/14 2:24 PM,1,5,55.8491
7/22/14 2:25 PM,1,5,
7/22/14 2:26 PM,1,5,
7/22/14 2:27 PM,1,5,55.8491
7/22/14 2:28 PM,1,5,55.8491
7/22/14 2:29 PM,1,5,
7/22/14 2:30 PM,,5,55.8491
7/22/14 2:31 PM,1,,
7/22/14 2:32 PM,,5,55.7534
7/22/14 2:33 PM,1,,55.7534
7/22/14 2:34 PM,,5,55.7534
7/22/14 2:35 PM,1,5,
7/22/14 2:36 PM,1,5,55.7534
7/22/14 2:37 PM,1,5,55.7534
7/22/14 2:38 PM,1,5,55.5049
7/22/14 2:39 PM,1,,
7/22/14 2:40 PM,1,5,
7/22/14 2:41 PM,1,,
7/22/14 2:42 PM,1,,55.3465
7/22/14 2:43 PM,,5,55.1029
7/22/14 2:44 PM,,5,55.1029
7/22/14 2:45 PM,1,,55.1029
7/22/14 2:46 PM,1,,55.1029
7/22/14 2:47 PM,1,5,55.1772
7/22/14 2:48 PM,,5,55.1772
7/22/14 2:49 PM,,,
7/22/14 2:50 PM,1,5,55.4622
7/22/14 2:51 PM,1,5,
7/22/14 2:52 PM,1,5,
7/22/14 2:53 PM,,,
7/22/14 2:54 PM,,5,55.6017
7/22/14 2:55 PM,1,5,55.6017
7/22/14 2:56 PM,1,,55.6017
7/22/14 2:57 PM,1,5,
7/22/14 2:58 PM,,,
7/22/14 2:59 PM,,5,55.6017
7/22/14 3:00 PM,,5,55.6017
7/22/14 3:01 PM,1,5,55.6017
7/22/14 3:02 PM,1,,
7/22/14 3:03 PM,1,5,55.8933
7/22/14 3:04 PM,,5,56.0066
7/22/14 3:05 PM,1,5,56.0066
7/22/14 3:06 PM,1,5,56.0066
7/22/14 3:07 PM,1,,56.0066
7/22/14 3:08 PM,,,56.0066
7/22/14 3:09 PM,1,5,56.0066
7/22/14 3:10 PM,1,5,56.0066
7/22/14 3:11 PM,1,,56.0066
7/22/14 3:12 PM,1,,
7/22/14 3:13 PM,,5,56.1493
7/22/14 3:14 PM,1,5,
7/22/14 3:15 PM,1,,56.1559
7/22/14 3:16 PM,1,5,56.1619
7/22/14 3:17 PM,1,5,56.1619
7/22/14 3:18 PM,,5,
7/22/14 3:19 PM,1,,56.8957
7/22/14 3:20 PM,1,5,56.8957
7/22/14 3:21 PM,,5,56.5009
7/22/14 3:22 PM,1,5,
7/22/14 3:23 PM,1,5,56.5009
7/22/14 3:24 PM,1,5,56.5009
7/22/14 3:25 PM,1,5,56.4904
7/22/14 3:26 PM,,5,56.4904
7/22/14 3:27 PM,1,5,56.4904
7/22/14 3:28 PM,,5,56.4904
7/22/14 3:29 PM,,5,
7/22/14 3:30 PM,1,5,56.4904
7/22/14 3:31 PM,1,5,56.4904
7/22/14 3:32 PM,1,,56.4904
7/22/14 3:33 PM,1,5,56.4904
7/22/14 3:34 PM,1,,56.4904
7/22/14 3:35 PM,1,,
7/22/14 3:36 PM,1,5,56.5835
7/22/14 3:37 PM,,5,56.5835
7/22/14 3:38 PM,1,5,56.5835
7/22/14 3:39 PM,1,5,56.5835
7/22/14 3:40 PM,1,5,
7/22/14 3:41 PM,1,5,
7/22/14 3:42 PM,1,5,56.5835
