time,OutdoorAirTemperature,WholeBuildingPower [kW],WholeBuildingElec,Boiler Gas [kBtu/hr],HVACStatus
2009-01-02 00:00:00-08:00,36,23.3,23300,145.62,1
2009-01-02 01:00:00-08:00,35,23.1,23100,152.69,1
2009-01-02 02:00:00-08:00,35,23.7,23700,152.96,1
2009-01-02 03:00:00-08:00,35,29.1,29100,144.02,1
2009-01-02 04:00:00-08:00,35,35.6,35600,136.96,1
2009-01-02 05:00:00-08:00,35,45.5,45500,140.45,1
2009-01-02 06:00:00-08:00,35,41.4,41400,130.89,1
2009-01-02 07:00:00-08:00,35,42,42000,114.4,1
2009-01-02 08:00:00-08:00,35,41.5,41500,102.01,1
2009-01-02 09:00:00-08:00,35,38.3,38300,96.73,1
2009-01-02 10:00:00-08:00,35,45,45000,168.76,1
2009-01-02 11:00:00-08:00,35,43.3,43300,237.83,1
2009-01-02 12:00:00-08:00,35,42.5,42500,221.35,1
2009-01-02 13:00:00-08:00,37,39.1,39100,113.82,1
2009-01-02 14:00:00-08:00,37,37.1,37100,92.44,1
2009-01-02 15:00:00-08:00,37,36,36000,97.81,1
2009-01-02 16:00:00-08:00,33,39,39000,103.73,1
2009-01-02 17:00:00-08:00,33,38.2,38200,150.14,1
2009-01-02 18:00:00-08:00,33,39.8,39800,153.44,1
2009-01-02 19:00:00-08:00,25,40.3,40300,190.29,1
2009-01-02 20:00:00-08:00,25,44.1,44100,185.8,1
2009-01-02 21:00:00-08:00,25,43.3,43300,168.78,1
2009-01-02 22:00:00-08:00,21,26,26000,184.53,1
2009-01-02 23:00:00-08:00,21,25.7,25700,220.97,1
2009-01-03 00:00:00-08:00,21,28.2,28200,201.88,1
2009-01-03 01:00:00-08:00,20,29.2,29200,196.92,1
2009-01-03 02:00:00-08:00,20,29.4,29400,234.52,1
2009-01-03 03:00:00-08:00,20,32.5,32500,279.47,1
2009-01-03 04:00:00-08:00,21,37,37000,335.51,1
2009-01-03 05:00:00-08:00,21,56,56000,574.46,1
2009-01-03 06:00:00-08:00,21,70.9,70900,577.87,1
2009-01-03 07:00:00-08:00,23,58.8,58800,552.9,1
2009-01-03 08:00:00-08:00,23,57.8,57800,515.35,1
2009-01-03 09:00:00-08:00,23,54.3,54300,436.47,1
2009-01-03 10:00:00-08:00,28,47.7,47700,376.22,1
2009-01-03 11:00:00-08:00,28,44.7,44700,276.48,1
2009-01-03 12:00:00-08:00,28,45.7,45700,234.97,1
2009-01-03 13:00:00-08:00,31,43.3,43300,241.21,1
2009-01-03 14:00:00-08:00,31,45.2,45200,235.13,1
2009-01-03 15:00:00-08:00,31,45.8,45800,239.49,1
2009-01-03 16:00:00-08:00,30,43.4,43400,260,1
2009-01-03 17:00:00-08:00,30,40.2,40200,291.6,1
2009-01-03 18:00:00-08:00,30,43.2,43200,237.75,1
2009-01-03 19:00:00-08:00,21,43.5,43500,271.93,1
2009-01-03 20:00:00-08:00,21,48.7,48700,240.34,1
2009-01-03 21:00:00-08:00,21,46.6,46600,203.99,1
2009-01-03 22:00:00-08:00,17,36.2,36200,179.71,1
2009-01-03 23:00:00-08:00,17,32.2,32200,194.09,1
2009-01-04 00:00:00-08:00,17,34.3,34300,193.12,1
2009-01-04 01:00:00-08:00,18,34.2,34200,242.26,1
2009-01-04 02:00:00-08:00,18,35.2,35200,274.67,1
2009-01-04 03:00:00-08:00,18,34.8,34800,326.15,1
2009-01-04 04:00:00-08:00,19,44.1,44100,538.74,1
2009-01-04 05:00:00-08:00,19,62.3,62300,762.92,1
2009-01-04 06:00:00-08:00,19,73.2,73200,911.67,1
2009-01-04 07:00:00-08:00,15,66.7,66700,1003.93,1
