,Unnamed: 0,Unnamed: 0.1,Timestamp,Occupied,FanStatus,DATemp,RATemp,OATemp,OATempWeb,CoolCmd1,CoolCmd2,HeatCmd1,HeatCmd2,EconMode,StdEconStpt,ActClgStpt,ActHtgStpt,VentMode,Timedata,SpaceTemp
2880,410460,280993,7/13/2016 1:00,1,1,73.3,69.38,64.15,66,0,0,0,0,0,55,71,68,1,1468396800,71.41
2881,410461,280994,7/13/2016 1:01,1,1,73.34,69.39,64.16,66,0,0,0,0,0,55,71,68,1,1468396860,71.42
2882,410462,280995,7/13/2016 1:02,1,1,73.34,69.41,64.11,66,0,0,0,0,0,55,71,68,1,1468396920,71.44
2883,410463,280996,7/13/2016 1:03,1,1,73.36,69.41,64.06,66,0,0,0,0,0,55,71,68,1,1468396980,71.47
2884,410464,280997,7/13/2016 1:04,1,1,73.37,69.45,64.05,66,0,0,0,0,0,55,71,68,1,1468397040,71.49
2885,410465,280998,7/13/2016 1:05,1,1,73.37,69.42,64.12,66,0,0,0,0,0,55,71,68,1,1468397100,71.5
2886,410466,280999,7/13/2016 1:06,1,1,73.38,69.46,64.07,66,0,0,0,0,0,55,71,68,1,1468397160,71.52
2887,410467,281000,7/13/2016 1:07,1,1,73.38,69.37,64.1,66,0,0,0,0,0,55,71,68,1,1468397220,71.52
2888,410468,281001,7/13/2016 1:08,1,1,73.38,69.39,64.03,66,0,0,0,0,0,55,71,68,1,1468397280,71.54
2889,410469,281002,7/13/2016 1:09,1,1,73.41,69.37,63.99,66,0,0,0,0,0,55,71,68,1,1468397340,71.55
2890,410470,281003,7/13/2016 1:10,1,1,73.4,69.49,63.94,66,0,0,0,0,0,55,71,68,1,1468397400,71.56
2891,410471,281004,7/13/2016 1:11,1,1,73.42,69.5,63.95,66,0,0,0,0,0,55,71,68,1,1468397460,71.58
2892,410472,281005,7/13/2016 1:12,1,1,73.46,69.56,63.92,66,0,0,0,0,0,55,71,68,1,1468397520,71.59
2893,410473,281006,7/13/2016 1:13,1,1,73.45,69.49,63.91,66,0,0,0,0,0,55,71,68,1,1468397580,71.61
2894,410474,281007,7/13/2016 1:14,1,1,73.47,69.47,63.82,66,0,0,0,0,0,55,71,68,1,1468397640,71.63
2895,410475,281008,7/13/2016 1:15,1,1,73.47,69.39,63.76,66,0,0,0,0,0,55,71,68,1,1468397700,71.64
2896,410476,281009,7/13/2016 1:16,1,1,73.46,69.47,63.7,66,0,0,0,0,0,55,71,68,1,1468397760,71.65
2897,410477,281010,7/13/2016 1:17,1,1,73.47,69.43,63.59,66,0,0,0,0,0,55,71,68,1,1468397820,71.66
2898,410478,281011,7/13/2016 1:18,1,1,73.51,69.51,63.64,66,0,0,0,0,0,55,71,68,1,1468397880,71.66
2899,410479,281012,7/13/2016 1:19,1,1,73.53,69.59,63.65,66,0,0,0,0,0,55,71,68,1,1468397940,71.69
2900,410480,281013,7/13/2016 1:20,1,1,73.54,69.65,63.75,66,0,0,0,0,0,55,71,68,1,1468398000,71.69
2901,410481,281014,7/13/2016 1:21,1,1,73.55,69.61,63.75,66,0,0,0,0,0,55,71,68,1,1468398060,71.72
2902,410482,281015,7/13/2016 1:22,1,1,73.55,69.61,63.76,66,0,0,0,0,0,55,71,68,1,1468398120,71.72
2903,410483,281016,7/13/2016 1:23,1,1,73.54,69.58,63.73,66,0,0,0,0,0,55,71,68,1,1468398180,71.74
