Date,whole-bldg-elec-W,out-temp-F
4/1/1987 0:00,0,47
4/1/1987 1:00,0,46
4/1/1987 2:00,0,46
4/1/1987 3:00,0,44
4/1/1987 4:00,0,45
4/1/1987 5:00,0,47
4/1/1987 6:00,0,48
4/1/1987 7:00,0,52
4/1/1987 8:00,0,57
4/1/1987 9:00,0,61
4/1/1987 10:00,0,65
4/1/1987 11:00,0,69
4/1/1987 12:00,0,74
4/1/1987 13:00,0,75
4/1/1987 14:00,0,79
4/1/1987 15:00,403,81
4/1/1987 16:00,484,80
4/1/1987 17:00,44,78
4/1/1987 18:00,0,73
4/1/1987 19:00,0,72
4/1/1987 20:00,0,70
4/1/1987 21:00,0,69
4/1/1987 22:00,0,66
4/1/1987 23:00,0,56
4/2/1987 0:00,0,57
4/2/1987 1:00,0,56
4/2/1987 2:00,0,58
4/2/1987 3:00,0,57
4/2/1987 4:00,0,52
4/2/1987 5:00,0,54
4/2/1987 6:00,0,51
4/2/1987 7:00,0,53
4/2/1987 8:00,0,56
4/2/1987 9:00,1838,57
4/2/1987 10:00,3477,60
4/2/1987 11:00,3323,63
4/2/1987 12:00,0,66
4/2/1987 13:00,3693,66
4/2/1987 14:00,3771,69
4/2/1987 15:00,3771,69
4/2/1987 16:00,2243,67
4/2/1987 17:00,0,64
4/2/1987 18:00,0,61
4/2/1987 19:00,0,59
4/2/1987 20:00,0,57
4/2/1987 21:00,0,55
4/2/1987 22:00,0,53
4/2/1987 23:00,0,52
4/3/1987 0:00,0,52
4/3/1987 1:00,0,52
4/3/1987 2:00,0,52
4/3/1987 3:00,0,51
4/3/1987 4:00,0,51
4/3/1987 5:00,0,51
4/3/1987 6:00,0,50
4/3/1987 7:00,0,50
4/3/1987 8:00,0,49
4/3/1987 9:00,0,49
4/3/1987 10:00,0,48
4/3/1987 11:00,265,48
4/3/1987 12:00,365,48
4/3/1987 13:00,365,48
4/3/1987 14:00,232,49
4/3/1987 15:00,133,48
4/3/1987 16:00,0,48
4/3/1987 17:00,133,48
4/3/1987 18:00,365,48
4/3/1987 19:00,232,48
4/3/1987 20:00,365,47
4/3/1987 21:00,496,47
4/3/1987 22:00,580,47
4/3/1987 23:00,745,46
4/4/1987 0:00,679,47
4/4/1987 1:00,828,46
4/4/1987 2:00,828,46
4/4/1987 3:00,844,46
4/4/1987 4:00,1010,46
4/4/1987 5:00,1010,46
4/4/1987 6:00,1010,47
4/4/1987 7:00,1010,48
4/4/1987 8:00,894,48
4/4/1987 9:00,745,52
4/4/1987 10:00,496,53
4/4/1987 11:00,365,56
4/4/1987 12:00,232,55
4/4/1987 13:00,133,59
4/4/1987 14:00,0,59
4/4/1987 15:00,0,57
4/4/1987 16:00,0,54
4/4/1987 17:00,99,53
4/4/1987 18:00,232,52
