Date,Hillside OAT [F],Main Meter [kW],Boiler Gas [kBtu/hr]
2/1/2012 0:00,45.67,108.52,477.31
2/1/2012 1:00,46.18,111.86,597.66
2/1/2012 2:00,47.08,113.87,630.03
2/1/2012 3:00,47.08,114.24,654.75
2/1/2012 4:00,47.61,139.99,936.52
2/1/2012 5:00,47.91,145.86,1259.27
2/1/2012 6:00,48.23,153.62,1423.25
2/1/2012 7:00,48.45,167.61,1438.42
2/1/2012 8:00,49.47,187.12,1167.65
2/1/2012 9:00,50.78,204.19,888.61
2/1/2012 10:00,50.7,210.71,679.14
2/1/2012 11:00,52.36,213.18,654.53
2/1/2012 12:00,58.88,214.55,637.42
2/1/2012 13:00,59.49,216.07,608.63
2/1/2012 14:00,57.59,217.32,508.34
2/1/2012 15:00,57.82,214.69,478.21
2/1/2012 16:00,56.99,206.4,431.11
2/1/2012 17:00,54.3,184.41,375.11
2/1/2012 18:00,51.38,135.08,281.7
2/1/2012 19:00,49.93,119.2,220.64
2/1/2012 20:00,49.43,110.47,300.83
2/1/2012 21:00,49.3,110.52,341.5
2/1/2012 22:00,49.36,109.72,424
2/1/2012 23:00,49.09,107.59,458.43
2/2/2012 0:00,49.23,108.17,500.74
2/2/2012 1:00,49.65,110.61,677.07
2/2/2012 2:00,49.13,112.14,706.93
2/2/2012 3:00,48.38,113.18,711.13
2/2/2012 4:00,48.54,135.62,1014.88
2/2/2012 5:00,47.29,139.86,1409.71
2/2/2012 6:00,46.45,151.93,1644.75
2/2/2012 7:00,46.39,165.27,1654.29
2/2/2012 8:00,49.41,183.9,1372.46
2/2/2012 9:00,57.63,199.17,1140.4
2/2/2012 10:00,75.19,204.73,779.55
2/2/2012 11:00,82.83,206.45,619.19
2/2/2012 12:00,83.83,208.84,505.45
2/2/2012 13:00,67.02,211,479.18
2/2/2012 14:00,63.95,213.93,418.58
2/2/2012 15:00,62.69,212.03,365.39
2/2/2012 16:00,60.13,205,329.07
2/2/2012 17:00,58.34,183.7,283.91
2/2/2012 18:00,55.5,128.69,262.4
2/2/2012 19:00,53.81,112.72,221.07
2/2/2012 20:00,52.5,107.15,217.77
2/2/2012 21:00,51.95,106.03,250.58
2/2/2012 22:00,51.52,104.29,245.52
2/2/2012 23:00,50.86,105.01,284.74
2/3/2012 0:00,50.58,106.48,334.63
2/3/2012 1:00,49.31,109.48,421.39
2/3/2012 2:00,49.67,111.39,483.78
2/3/2012 3:00,48.24,110.36,622.19
2/3/2012 4:00,47.36,137.43,927.9
2/3/2012 5:00,47.67,141.1,1275.05
2/3/2012 6:00,47.28,148.28,1475.51
2/3/2012 7:00,47.1,160.67,1509.23
2/3/2012 8:00,49.12,180.74,1380.76
2/3/2012 9:00,56.61,197.02,1068.33
2/3/2012 10:00,71.74,204.05,836.36
2/3/2012 11:00,79.81,205.79,662.8
2/3/2012 12:00,80.49,202.15,555.03
2/3/2012 13:00,66.12,207.64,491.63
2/3/2012 14:00,60.76,214.24,483.54
2/3/2012 15:00,59.4,213.35,458.35
2/3/2012 16:00,57.88,198.96,432.07
2/3/2012 17:00,54.62,178.52,376.07
2/3/2012 18:00,52.63,129.24,275.25
2/3/2012 19:00,52.19,113.93,188.59
2/3/2012 20:00,51.91,109.82,236.57
2/3/2012 21:00,51.97,109.21,269.51
2/3/2012 22:00,51.54,106.12,247.34
2/3/2012 23:00,51.17,105.54,296
2/4/2012 0:00,49.47,104.75,358.52
2/4/2012 1:00,48.06,106.19,309.35
2/4/2012 2:00,47.94,108.95,312.95
2/4/2012 3:00,47.5,109.81,406.77
2/4/2012 4:00,49.57,110.7,438.05
2/4/2012 5:00,47.72,112.77,475.97
2/4/2012 6:00,46.51,112.44,484.83
2/4/2012 7:00,46.43,113.2,423.39
2/4/2012 8:00,48.63,112.72,470.79
